0.9891487640000001:[1, -8],
0.989686107:[1, -8],
0.9900613680000001:[1, -8],
0.9904318360000001:[1, -8],
0.9907927230000001:[1, -8],
0.9911541300000001:[1, -8],
0.9915131410000001:[1, -8],
0.991873141:[1, -8],
0.9922458500000001:[1, -8],
0.992618922:[1, -8],
0.9929822030000001:[1, -7],
0.993358818:[1, -7],
0.9937415770000001:[1, -7],
0.9941148070000001:[1, -7],
0.9945166820000001:[1, -7],
0.9948923070000001:[1, -7],
0.9952628280000001:[1, -7],
0.995637411:[1, -7],
0.9960060570000001:[1, -7],
0.996377515:[1, -7],
0.9969492320000001:[1, -7],
0.997326472:[1, -7],
0.997697618:[1, -7],
0.998174128:[1, -7],
0.998545326:[1, -7],
0.9989029300000001:[1, -7],
0.999270274:[1, -7],
0.9996320970000001:[1, -7],
1.000156785:[1, -7],
1.000571159:[1, -6],
1.000930117:[1, -6],
1.001284545:[1, -6],
1.001664285:[1, -6],
1.002023034:[1, -6],
1.00239069:[1, -6],
1.002757878:[1, -6],
1.003128034:[1, -5],
1.003496211:[1, -5],
1.003864857:[1, -5],
1.004236159:[1, -5],
1.004605794:[1, -5],
1.004991419:[1, -5],
1.005361367:[1, -5],
1.00573095:[1, -5],
1.006100688:[1, -4],
1.006460219:[1, -4],
1.006831834:[1, -4],
1.007206104:[1, -4],
1.007572979:[1, -4],
1.007940166:[1, -4],
1.008326311:[1, -4],
1.008707614:[1, -4],
1.00907506:[1, -4],
1.009443602:[1, -3],
1.009813653:[1, -3],
1.01018355:[1, -3],
1.010549279:[1, -3],
1.011204852:[1, -3],
1.011650841:[1, -3],
1.012061674:[1, -3],
1.012455007:[1, -3],
1.012822611:[1, -3],
1.013192038:[1, -3],
1.013558809:[1, -3],
1.013925996:[1, -3],
1.014298808:[1, -3],
1.014669589:[1, -3],
1.01503714:[1, -3],
1.015412609:[1, -3],
1.015800526:[1, -3],
1.01616964:[1, -3],
1.016534849:[1, -3],
1.016901047:[1, -3],
1.017268079:[1, -3],
1.017635319:[1, -3],
1.01800433:[1, -3],
1.018377299:[1, -3],
1.018745215:[1, -3],
1.019128289:[1, 4],
1.019498602:[1, 4],
1.019859227:[1, 4],
1.020221519:[1, 4],
1.020585945:[1, 4],
1.020947247:[1, 4],
1.021312559:[1, 4],
1.021677507:[1, 4],
1.022043288:[1, 4],
1.02240886:[1, 4],
1.022771465:[1, 4],
1.023135424:[1, 4],
1.023499904:[1, 4],
1.023941206:[1, 4],
1.024305841:[1, 4],
1.024670475:[1, 4],
1.025032975:[1, 4],
1.025396413:[1, 4],
1.025774121:[1, 4],
1.02615308:[1, 4],
1.026518758:[1, 8],
1.026883967:[1, 8],
1.027245997:[1, 8],
1.027606362:[1, 8],
1.027971726:[1, 8],
1.028391153:[1, 8],
1.02875532:[1, 8],
1.029123288:[1, 8],
1.029487039:[1, 8],
1.029854955:[1, 8],
1.030223601:[1, 8],
1.030590008:[1, 8],
1.030953237:[1, 8],
1.031312718:[1, 8],
1.031675009:[1, 8],
1.032040582:[1, 8],
1.032408394:[1, 8],
1.033074072:[1, 10],
1.033468967:[1, 10],
1.033836258:[1, 10],
1.034202561:[1, 10],
1.034569748:[1, 10],
1.034932612:[1, 10],
1.035293759:[1, 10],
1.035657717:[1, 10],
1.03602079:[1, 10],
1.0364024569999999:[1, 10],
1.036772978:[1, 10],
1.037216936:[1, 10],
1.037584748:[1, 11],
1.037950686:[1, 11],
1.038316833:[1, 11],
1.038682926:[1, 11],
1.039051154:[1, 11],
1.039416206:[1, 11],
1.039780372:[1, 11],
1.040167351:[1, 11],
1.040530373:[1, 11],
1.040892613:[1, 11],
1.041258343:[1, 11],
1.04167652:[1, 11],
1.04204277:[1, 11],
1.042404437:[1, 11],
1.04277001:[1, 11],
1.043137771:[1, 11],
1.043518239:[1, 11],
1.043882615:[1, 11],
1.044249125:[1, 11],
1.04460949:[1, 11],
1.044972302:[1, 11],
1.045337666:[1, 11],
1.045697249:[1, 11],
1.046064696:[1, 11],
1.046429801:[1, 11],
1.046813394:[1, 11],
1.047178237:[1, 11],
1.047541622:[1, 11],
1.047904123:[1, 11],
1.048268914:[1, 12],
1.04863256:[1, 12],
1.048997612:[1, 12],
1.049365008:[1, 12],
1.049727143:[1, 12],
1.050086519:[1, 12],
1.050455217:[1, 12],
1.050818028:[1, 12],
1.051189383:[1, 12],
1.051556206:[1, 12],
1.051922143:[1, 12],
1.052287298:[1, 12],
1.05265308:[1, 12],
1.053016622:[1, 12],
1.053381257:[1, 12],
1.053764643:[1, 12],
1.054197196:[1, 12],
1.05482579:[1, 12],
1.055226259:[2, 13],
1.055613499:[2, 13],
1.05600027:[2, 13],
1.056418499:[2, 13],
1.056829854:[2, 13],
1.05719803:[2, 13],
1.057586206:[2, 13],
1.057947976:[2, 13],
1.058312403:[2, 13],
1.058678966:[2, 13],
1.059157039:[2, 13],
1.059524695:[2, 13],
1.059892976:[2, 12],
1.060254382:[2, 12],
1.06061808:[2, 12],
1.060996829:[2, 12],
1.061362558:[2, 12],
1.061729641:[2, 12],
1.062097297:[2, 12],
1.062464588:[2, 12],
1.062827192:[2, 12],
1.063251567:[2, 12],
1.063622088:[2, 12],
1.063988078:[2, 12],
1.064353651:[2, 12],
1.064717713:[2, 12],
1.065081412:[2, 12],
1.06544662:[2, 12],
1.065814277:[2, 12],
1.066184016:[2, 12],
1.066551464:[2, 12],
1.066914641:[2, 12],
1.067278598:[2, 12],
1.067647661:[2, 12],
1.068011671:[2, 12],
1.068375942:[2, 12],
1.068739536:[2, 12],
1.069107192:[2, 12],
1.069471724:[2, 12],
1.069832661:[2, 12],
1.070197766:[2, 12],
1.070561724:[2, 12],
1.070936984:[2, 12],
1.071313912:[2, 12],
1.071674484:[2, 12],
1.072041359:[2, 12],
1.072411724:[2, 12],
1.072776776:[2, 12],
1.073138181:[2, 12],
1.073503077:[2, 12],
