pyo_open,dec,weekend,public_hol,school_hol,temp,rain,lines
1,0,0,1,1,100001,0000,0111001000
1,0,0,0,1,010111,0100,0110001011
1,0,0,0,1,010111,0001,1010100100
1,0,1,0,1,010111,0001,1010111010
1,0,1,0,1,010110,0000,0111101001
1,0,0,0,1,010111,0011,0111010111
1,0,0,0,1,010111,0000,1000011110
1,0,0,0,1,011100,0000,0111101110
1,0,0,0,1,011111,0000,0111110001
1,0,0,0,1,100011,0000,0101011001
1,0,1,0,1,100001,0000,0111110010
1,0,1,0,1,100100,0000,1000011000
1,0,0,0,1,101010,0000,0001111110
1,0,0,0,1,101101,0000,0001100101
1,0,0,0,1,101100,0000,0001010011
1,0,0,0,1,101100,0000,0000111110
1,0,0,0,1,101011,0000,0010000010
1,0,1,0,1,011111,0010,0110001101
1,0,1,0,1,011101,0000,1000100001
1,0,0,0,1,011110,0000,0101000100
1,0,0,0,1,011011,0000,0101001101
1,0,0,0,1,011101,0000,0100110100
1,0,0,0,1,100011,0000,0011011000
1,0,0,0,1,011011,0000,0101101011
1,0,1,0,1,011011,0000,1000110000
1,0,1,0,1,100010,0000,0110111011
1,0,0,1,1,100111,0000,0110000101
1,0,0,0,0,101011,0000,0000111111
1,0,0,0,0,011111,0000,0001111101
1,0,0,0,0,100101,0000,0001011010
1,0,0,0,0,100110,0000,0010001100
1,0,1,0,0,101011,0000,0010010001
1,0,1,0,0,101101,0000,0010111100
1,0,0,0,0,011100,0000,0001110110
1,0,0,0,0,011100,0000,0010000101
1,0,0,0,0,100010,0000,0001100011
1,0,0,0,0,100010,0000,0010011100
1,0,0,0,0,100101,0000,0001111001
1,0,1,0,0,101011,0000,0010101000
1,0,1,0,0,011100,0000,1001001011
1,0,0,0,0,100010,0000,0001100101
1,0,0,0,0,101011,0000,0001001111
1,0,0,0,0,101010,0000,0000110001
1,0,0,0,0,011011,0001,0000101010
1,0,0,0,0,011001,1111,0001110001
1,0,1,0,0,011011,1111,0011100011
1,0,1,0,0,011001,0000,0110100000
1,0,0,0,0,011011,0000,0010000011
1,0,0,0,0,011001,0000,0010010100
1,0,0,0,0,010101,0011,0001010101
1,0,0,0,0,010101,0010,0010100000
1,0,0,0,0,010110,0000,0010001111
1,0,1,0,0,010111,0000,0101011111
1,0,1,0,0,011011,0000,0111011010
1,0,0,0,0,011110,0000,0010001011
1,0,0,0,0,011000,0000,0001111001
1,0,0,0,0,011000,0000,0010001011
1,0,0,0,0,011000,0000,0010001110
1,0,0,0,0,011010,0000,0010010010
1,0,1,0,0,011011,0000,0101101110
1,0,1,0,0,011110,0000,0111000000
1,0,0,0,0,100000,0000,0010001001
1,0,0,0,0,100011,0000,0001001011
1,0,0,0,0,011001,0000,0001110001
1,0,0,0,0,011000,0000,0010001111
1,0,0,0,0,011000,0000,0010010101
1,0,1,0,0,011111,0000,0111010100
1,0,1,0,0,100100,0000,1000010011
1,0,0,1,0,100011,0000,1010010101
1,0,0,0,0,100000,0000,0001101010
1,0,0,0,0,011000,0010,0010100101
1,0,0,0,0,011010,0000,0010101000
1,0,0,0,0,011100,0000,0011000000
1,0,1,0,0,011000,0000,0101010100
1,0,1,0,0,010110,0101,0100101101
1,0,0,0,0,011000,0111,0001101110
