condition,message
100111000010000,0111001000
100010101110100,0110001011
100010101110001,1010100100
101010101110001,1010111010
101010101100000,0111101001
100010101110011,0111010111
100010101110000,1000011110
100010111000000,0111101110
100010111110000,0111110001
100011000110000,0101011001
101011000010000,0111110010
101011001000000,1000011000
100011010100000,0001111110
100011011010000,0001100101
100011011000000,0001010011
100011011000000,0000111110
100011010110000,0010000010
101010111110010,0110001101
101010111010000,1000100001
100010111100000,0101000100
100010110110000,0101001101
100010111010000,0100110100
100011000110000,0011011000
100010110110000,0101101011
101010110110000,1000110000
101011000100000,0110111011
100111001110000,0110000101
100001010110000,0000111111
100000111110000,0001111101
100001001010000,0001011010
100001001100000,0010001100
101001010110000,0010010001
101001011010000,0010111100
100000111000000,0001110110
100000111000000,0010000101
100001000100000,0001100011
100001000100000,0010011100
100001001010000,0001111001
101001010110000,0010101000
101000111000000,1001001011
100001000100000,0001100101
100001010110000,0001001111
100001010100000,0000110001
100000110110001,0000101010
100000110011111,0001110001
101000110111111,0011100011
101000110010000,0110100000
100000110110000,0010000011
100000110010000,0010010100
100000101010011,0001010101
100000101010010,0010100000
100000101100000,0010001111
101000101110000,0101011111
101000110110000,0111011010
100000111100000,0010001011
100000110000000,0001111001
100000110000000,0010001011
100000110000000,0010001110
100000110100000,0010010010
101000110110000,0101101110
101000111100000,0111000000
100001000000000,0010001001
100001000110000,0001001011
100000110010000,0001110001
100000110000000,0010001111
100000110000000,0010010101
101000111110000,0111010100
101001001000000,1000010011
100101000110000,1010010101
100001000000000,0001101010
100000110000010,0010100101
100000110100000,0010101000
100000111000000,0011000000
101000110000000,0101010100
101000101100101,0100101101
100000110000111,0001101110
100000110010001,0010010110
100000110010000,0001111000
100001000010000,0010100010
100000101100000,0011001110
101000101110000,0111000111
101000101000000,0110000100
100000101100001,0001101100
100000101000000,0010010001
100000111000001,0010011100
100000111010000,0001111011
100000111000000,0010000101
101000111000000,0101110001
101001000010000,0111110100
100001000010000,0001111111
100001001010000,0001111100
100000101110001,0001110001
100000101010000,0010000110
100000101010000,0010000101
101000101100000,0011111010
101000110010000,0111000011
100000110100000,0010001111
100000110000001,0010100011
100000101101111,0001100010
100000101110011,0001111010
100000100110000,0011010101
101010101010000,0101010011
101010101100000,0110110100
100010101100000,0100011010
100010101110000,0101001010
100010110000000,0100010010
100010110000000,0100000001
100110101010010,0110101011
101110101000000,0111111101
101110101110000,0101110110
100110111010000,1000101010
100010101010000,0100110111
100010101010000,0110011110
100010101100001,0101101101
100110101110000,0111001110
101010101010001,0100111011
101010101100000,0101100111
100000111010000,0010001001
100000100111111,0010000001
100000100100010,0010010010
100000100100000,0001110010
100000011001100,0001001111
101000100001000,0011010110
101000100010000,0100010110
100000100100000,0001011000
100000100010011,0001011110
100000100100000,0001100000
000000100100000,0001111100
100000011100010,0001100110
101000100111111,0011110110
001000101010000,0100101000
100000101010000,0001010000
100000101110000,0001001101
100000110000000,0001111110
100000110010000,0010010010
100000110110000,0010100010
101000110000000,0100100010
101000110010000,0110000011
100000101100000,0001110001
100000110000000,0001111010
100000110100000,0010000000
100000110100000,0001001001
000000101100000,0010010010
001000110010000,0100011011
001000110000000,0100110101
000000101000001,0000111100
000000100101001,0000111010
000000100100101,0001000110
